dia_semana,nome_feira,bairro,endereco
Domingo,Paulo Faccini,Macedo,Rua Tapajós
Domingo,Vila Galvão,Vila Galvão,Avenida Dona Eugênia Machado da Silva
Domingo,Picança,Picanço,Rua Anice
Domingo,Paraíso,Taboão,Avenida Cesário Lange
Domingo,Cumbica,Cumbica,Rua Juazeiro do Norte
Domingo,São Luiz,Presidente Dutra,Avenida Rio Real
Domingo,Alvorada,Bonsucesso,Avenida Santana do Mundaú
Domingo,Marcos Freire,Pimentas,Avenida Norte-Sul
Domingo,Varejão São João,São João,Avenida Florianópolis
Domingo,Soberana,São João,Rua Lagedão
Domingo,Lenize,São João,Avenida Aracati
Domingo,Dinamarca,Água Chata,Rua Ibirapoã
Domingo,Nova Cidade,Pimentas,Rua Assis Abude
Domingo,Vila Izabel,Pimentas,Rua Eldridge Gastroat
Domingo,Recreio São Jorge II,Cabuçu,Rua Itororó
Domingo,Fortaleza,Fortaleza,Avenida dos Oleiros
Domingo,Jardim Jacy,Itaim,Rua Nova Europa
Domingo,São João Batista,Morros,Avenida Wilson Celestino
Domingo,Jardim Valéria,Morros,Rua Curió
Domingo,Centenário,Pimentas,Rua Barra de Santo Antônio
Domingo,Santos Dumont,Santos Dumont,Rua Luís Rossetti
Terça-feira,Jardim Vila Galvão,Jardim Vila Galvão,Avenida Mem de Sá
Terça-feira,Pinhal,Paraventi,Avenida Avelino Alves Machado
Terça-feira,Vila Moreira,Vila Augusta,Rua Marcolina Moreira
Terça-feira,Bom Clima,Bom Clima,Avenida João Bernardo de Medeiros
Terça-feira,Jardim Adriana,Morros,Rua Maria Vilaça da Silva
Terça-feira,Cecap II,Cecap,Praça Mamonas Assassinas
Terça-feira,Presidente Dutra,Presidente Dutra,Rua Maracás
Terça-feira,Continental I,Cabuçu,Rua Jovino da Costa Silva
Terça-feira,Conjunto São José,Bonsucesso,Avenida Armando Bei
Terça-feira,Bambi,Mato das Cobras,Rua Gabriela Gurgel de Freitas
Terça-feira,Lavras,São João,Rua São Paulo Potengi
Terça-feira,Sítio São Francisco,Pimentas,Rua Nove
Terça-feira,São Manoel,Cumbica,Rua Sapé
Quarta-feira,Anel Viário,Gopoúva,Avenida Humberto de Alencar Castelo Branco
Quarta-feira,Vila Fátima,Vila Fátima,Rua Hélio Arrelaro
Quarta-feira,Rosa de França,Picanço,Rua Ester Cabral Pagnoncelli
Quarta-feira,Almeida Prado,Bela Vista,Rua Alípio de Sousa
Quarta-feira,Jovaia,Cocaia,Rua São Tiago
Quarta-feira,Jurema,Pimentas,Avenida Jurema
Quarta-feira,São Domingos,Taboão,Rua Limoeiro do Norte
Quarta-feira,Santa Emília,Taboão,Avenida Emília de Castro
Quarta-feira,Jardim Triunfo,Bonsucesso,Rua Santa Isabel do Pará
Quarta-feira,Nova Cumbica,Cumbica,Rua Vital Brasil
Quarta-feira,Santos Dumont,Bananal,Rua dos Dantas
Quarta-feira,Paraíso,Taboão,Avenida Purus
Quarta-feira,Guaracy,Itaim,Estrada do Itaim
Quarta-feira,Cidade Tupinambá,Pimentas,Rua Pérola Negra
Quarta-feira,Santa Maria,Pimentas,Rua Schoroeder
Quarta-feira,Fortaleza,Fortaleza,Rua Tereza Ravazio Magni
Quarta-feira,Santa Paula,Bonsucesso,Rua Rafael da Silva Santos
Quarta-feira,Anita Garibaldi,Bonsucesso,Rua Anita Garibaldi
Quinta-feira,Vila Galvão,Vila Galvão,Rua Faustino Ramalho
Quinta-feira,Salgado Filho,Centro,Avenida Salgado Filho
Quinta-feira,Jardim Paulista,Picanço,Rua Cachoeira (Cajuru)
Quinta-feira,São João,São João,Rua Juarez Távora
Quinta-feira,SOIMCO,Cumbica,Rua Anastácio
Quinta-feira,Marra Vitti,Bom Clima,Avenida Bom Clima
Quinta-feira,Santa Maria,Bela Vista,Rua Dona Olga Martins
Quinta-feira,Jardim Angélica,Pimentas,Rua Adriano dos Santos Cavalcânti
Quinta-feira,Continental II,Cabuçu,Rua João Genuíno Sobral
Quinta-feira,Jardim Álamo,Sadokim,Rua Nicolina Lapena Turri
Quinta-feira,Jardim Cumbica,Cumbica,Rua Ipiobuna
Quinta-feira,Jardim Leblon,Pimentas,Rua Satuba
Quinta-feira,Soberana,Jardim São João,Rua Lagedão
Quinta-feira,Dinamarca,Água Chata,-
Quinta-feira,Malvinas,Bananal,Rua dos Eucaliptos
Quinta-feira,Arapongas,Pimentas,Rua Begdá
Quinta-feira,Jardim Fátima,Bonsucesso,Rua Itaperuna
Quinta-feira,Santa Lídia,Taboão,-
Quinta-feira,Jardim City,Jardim City,Rua Reinaldo César de Oliveira
Sexta-feira,Ponte Grande,Ponte Grande,Rua Pedro Perella
Sexta-feira,Aracília,Aracília,Rua Hilton Cordeiro de Freitas
Sexta-feira,Itapegica,Itapegica,Avenida Rotary
Sexta-feira,Monte Carmelo,Monte Carmelo,Rua Flávio de Carvalho
Sexta-feira,Palmira,Cabuçu,Rua Glauco Antônio Galli
Sexta-feira,Cecap I,Cecap,Rua Rubens Henrique Picchi
Sexta-feira,Inocoop,Bonsucesso,Rua Elias Dabarian
Sexta-feira,Uirapuru,Cumbica,Rua Mombaça
Sexta-feira,Carmela,Bonsucesso,Avenida Carmela Thomeu
Sexta-feira,Jandaia,Pimentas,Rua Belo Horizonte
Sexta-feira,Maria Dirce,Presidente Dutra,Rua João Alves da Silva
Sexta-feira,Presidente Dutra,Presidente Dutra,Avenida Belo Campo
Sexta-feira,Mikail,Taboão,Rua José Maria Dias da Silva
Sexta-feira,Parque Industrial,Pimentas,Rua Taió
Sexta-feira,Cidade Jardim Cumbica,Cumbica,Rua Araripe
Sábado,Tranquilidade,Gopoúva,Estacionamento do Estádio do Flamengo
Sábado,Munhoz,Ponte Grande,Avenida Santana
Sábado,Torres Tibagy,Torres Tibagy,Alameda Yayá
Sábado,Sorocabana,Vila Augusta,Rua Carlos Roberto Doto
Sábado,Santa Cecília,Vila Rio,Rua São Geraldo
Sábado,Jardim Cumbica,Cumbica,Avenida Brejinho
Sábado,Pimentas,Pimentas,Avenida José Miguel Ackel
Sábado,Haroldo Veloso,São João,Rua Primo de Luca
Sábado,Varejão CECAP,Cecap,Avenida Presidente Tancredo de Almeida Neves
Sábado,Varejão Taboão,Taboão,Rua Deputado Ulisses Guimarães (estacionamento)
Sábado,Ponte Alta,Bonsucesso,Rua Zeferino Alves de Oliveira
Sábado,Lavras,Lavras,Rua Russas
Sábado,Continental V,Morros,Rua Benedito Caetano da Cruz
Sábado,Recreio São Jorge,Cabuçu,Avenida Palmira Rossi
Sábado,Jardim Santo Afonso,Pimentas,Rua Moreno
Sábado,Jardim Silvestre,Pimentas,Rua José Diogo
